track_id_atualizado,track_name_clean,artist_s__name_clean,count_songs,artist_count,data_de_lancamento,streams,in_spotify_charts,in_spotify_playlists,in_apple_charts,in_apple_playlists,in_deezer_charts,in_deezer_playlists,total_participation_in_playlist,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,terciles_streams,categoria_streams,terciles_bpm,categoria_bpm,terciles_danceability,categoria_danceability,terciles_valence,categoria_valence,terciles_energy,categoria_energy,terciles_acousticness,categoria_acousticness,terciles_instrumentalness,categoria_instrumentalness,terciles_liveness,categoria_liveness,terciles_speechiness,categoria_speechiness
8471078,punto g,quevedo,4,1,2022-11-04,381161027,35,1985,26,34,5,37,2056,92,75,55,76,25,0,10,15,2,medio,1,baixo,2,medio,2,medio,3,alto,2,medio,2,medio,1,baixo,3,alto
6057014,es un secreto,plan b,1,1,2010-07-20,540654286,36,492,3,4,0,19,515,95,84,52,77,12,0,7,4,3,alto,1,baixo,3,alto,2,medio,3,alto,2,medio,1,baixo,1,baixo,1,baixo
6286315,normal,feid,8,1,2022-07-08,459276435,36,2461,66,47,5,45,2553,170,71,59,56,4,0,27,12,2,medio,3,alto,2,medio,2,medio,1,baixo,1,baixo,1,baixo,3,alto,3,alto
3183051,golden hour,jvke,2,1,2022-07-15,751134527,36,4511,58,70,18,109,4690,94,51,14,59,65,18,25,3,3,alto,1,baixo,1,baixo,1,baixo,2,medio,3,alto,3,alto,3,alto,1,baixo
4487095,overdrive,post malone,3,1,2023-07-14,14780425,36,410,32,36,1,31,477,140,56,48,73,0,0,35,4,1,baixo,3,alto,1,baixo,2,medio,3,alto,1,baixo,2,medio,3,alto,1,baixo
8189388,no role modelz,j cole,1,1,2014-12-09,1791000570,36,21164,65,80,0,476,21720,100,70,47,52,30,0,6,33,3,alto,1,baixo,2,medio,2,medio,1,baixo,2,medio,1,baixo,1,baixo,3,alto
1054764,chorrito pa las animas,feid,8,1,2022-12-02,345031710,36,2321,65,29,5,34,2384,96,74,61,83,11,0,35,6,2,medio,1,baixo,2,medio,2,medio,3,alto,2,medio,3,alto,3,alto,2,medio
7529779,i can see you taylors version from the,taylor swift,34,1,2023-07-07,52135248,38,516,119,73,1,42,631,123,69,82,76,6,0,6,3,1,baixo,2,medio,2,medio,3,alto,3,alto,1,baixo,1,baixo,1,baixo,1,baixo
7783887,feliz cumpleaos fe,feid,8,1,2022-08-19,601863821,38,3430,69,45,4,52,3527,95,87,57,55,10,0,29,7,3,alto,1,baixo,3,alto,2,medio,1,baixo,2,medio,2,medio,3,alto,2,medio
4945945,amargura,karol g,4,1,2023-02-24,153372011,39,1133,71,14,10,23,1170,107,92,55,70,18,0,15,7,1,baixo,1,baixo,3,alto,2,medio,2,medio,2,medio,1,baixo,2,medio,2,medio
